identity_id;user_id;changed;del;standard;name;organization;email;reply-to;bcc;signature;html_signature
507;491;2012-06-22 12:28:55.0;0;1;*;*;*;*;*;NULL;1
508;492;2012-06-18 17:38:32.0;0;1;*;*;*;*;*;NULL;0
509;493;2012-06-20 09:58:11.0;0;1;*;*;*;*;*;NULL;0
510;494;2012-06-20 09:59:49.0;0;1;*;*;*;*;*;NULL;0
511;495;2012-09-11 15:18:14.0;0;1;*;*;*;*;*;NULL;0
512;496;2013-10-01 11:51:39.0;0;1;*;*;*;*;*;NULL;0
513;497;2014-01-28 11:16:46.0;0;1;*;*;*;*;*;NULL;0
514;498;2016-05-16 20:08:52.0;0;1;*;*;*;*;*;NULL;0
515;499;2016-05-16 16:53:00.0;0;1;*;*;*;*;*;NULL;0
516;500;2016-05-25 15:33:44.0;0;1;*;*;*;*;*;NULL;0
